timestamp,nyc_tested,tested,hospitalized,icu,discharged,nyc_cases,cases
2020-03-16T03:59:59Z,,7026,,,,,
2020-03-17T03:59:59Z,4000,10049,,,,,
2020-03-18T03:59:59Z,6194,14597,,,,,
2020-03-19T03:59:59Z,9534,22284,777,,,2469,4152
2020-03-20T03:59:59Z,14386,32427,1255,,,4408,7102
2020-03-21T03:59:59Z,19463,45437,1603,,,6211,10356
2020-03-22T03:59:59Z,26389,61401,1974,486,,9045,15168
2020-03-23T03:59:59Z,33003,78289,2635,621,,12305,20875
2020-03-24T03:59:59Z,38390,91270,3234,756,,14904,25665
2020-03-25T03:59:59Z,44076,103479,3805,888,,17856,30811
2020-03-26T03:59:59Z,51031,122104,5327,1290,1517,21393,37258
2020-03-27T03:59:59Z,57954,138376,6481,1583,2045,25398,44635
2020-03-28T03:59:59Z,65902,155934,7328,1755,2726,29766,52318
2020-03-29T03:59:59Z,73104,172360,8503,2037,3572,33768,59513
2020-03-30T03:59:59Z,79305,186468,9517,2352,4204,37453,66497
2020-03-31T03:59:59Z,89197,205186,10929,2710,4975,43139,75795
2020-04-01T03:59:59Z,96528,220800,12226,3022,6142,47439,83712
2020-04-02T03:59:59Z,104041,238965,13383,3396,7434,51809,92381
2020-04-03T03:59:59Z,113404,260520,14810,3713,8886,57159,102863
2020-04-04T03:59:59Z,124652,283621,15905,4126,10478,63306,113704
2020-04-05T03:59:59Z,132466,302280,16479,4376,12187,67551,122031
2020-04-06T03:59:59Z,140599,320881,16837,4504,13366,72181,130689
2020-04-07T03:59:59Z,149558,340058,17493,4593,14590,76876,138863
2020-04-08T03:59:59Z,160130,365153,18079,4895,16353,81803,149316
2020-04-09T03:59:59Z,170826,391549,18279,4925,18297,87028,159937
2020-04-10T03:59:59Z,181853,417885,18569,4908,20249,92384,170512
2020-04-11T03:59:59Z,193615,440980,18654,5009,22025,98308,180458
2020-04-12T03:59:59Z,204398,461601,18707,5198,23887,103208,188694
2020-04-13T03:59:59Z,212451,478357,18825,5158,25125,106763,195031
2020-04-14T03:59:59Z,221161,499143,18697,5225,26259,110465,202208
2020-04-15T03:59:59Z,237371,526012,18335,5205,28167,118302,213779
2020-04-16T03:59:59Z,249849,550579,17735,4367,30186,123146,222284
2020-04-17T03:59:59Z,261651,573223,17316,5039,31269,127352,229642
2020-04-18T03:59:59Z,273302,596532,16967,4996,33029,131263,236732
2020-04-19T03:59:59Z,283573,617555,16213,4878,34693,134436,242786
2020-04-20T03:59:59Z,291371,633861,16103,4814,35728,136806,247512
2020-04-21T03:59:59Z,300200,649325,16135,4729,36581,139325,251690
2020-04-22T03:59:59Z,311455,669982,15599,4690,38051,142432,257216
2020-04-23T03:59:59Z,324819,695920,15021,3918,39585,145855,263460
2020-04-24T03:59:59Z,342934,730655,14258,4540,41099,150473,271590
2020-04-25T03:59:50Z,360172,777568,13524,4410,43416,155113,282143
2020-04-26T03:59:50Z,373736,805350,12839,4284,44839,158258,288045
2020-04-27T03:59:50Z,384277,826095,12819,4157,45623,160489,291996
2020-04-28T03:59:50Z,394169,844994,12646,4071,46245,162338,295106
2020-04-29T03:59:50Z,408236,872481,12159,3923,47455,164841,299691
2020-04-30T03:59:50Z,422498,900636,11598,3769,48687,167478,304372
2020-05-01T03:59:50Z,435992,927438,10993,3460,49849,169690,308314
2020-05-02T03:59:50Z,452444,959017,10350,3501,50934,172354,312977
2020-05-03T03:59:50Z,465803,985911,9786,3430,52073,174331,316415
2020-05-04T03:59:50Z,474986,1007310,9647,3330,52627,175651,318953
2020-05-05T03:59:50Z,485803,1028899,9600,3281,53013,176874,321192
2020-05-06T03:59:50Z,498849,1055921,9179,3098,54597,178351,323978
2020-05-07T03:59:50Z,515218,1089916,8665,2976,55547,180216,327469
2020-05-08T03:59:50Z,530578,1121543,8196,2811,56378,181783,330407
2020-05-09T03:59:50Z,546259,1153768,7776,2664,57180,183289,333122
2020-05-10T03:59:50Z,559345,1182998,7262,2488,58006,184417,335395
2020-05-11T03:59:50Z,569236,1204650,7226,2450,58363,185357,337055
2020-05-12T03:59:50Z,578783,1225113,7063,2375,58679,186123,338485
2020-05-13T03:50:50Z,593536,1258907,6946,2308,59193,187250,340661
2020-05-14T03:59:50Z,611986,1298757,6706,2223,59758,188545,343051
2020-05-15T03:59:50Z,631759,1338048,6934,2156,60302,190357,345813
2020-05-16T03:59:50Z,650140,1378717,6220,2077,60796,191600,348232
